station_id,dustboy_name,tambon,amphoe,province,dustboy_lat,dustboy_lon
3326,อาคารระเบียงชมฟ้า รพ.แม่ฟ้าหลวง อ.แม่ฟ้าหลวง จ.เชียงราย,,แม่ฟ้าหลวง,เชียงราย,20.25078269970505,99.65105508465886
3327,เทศบาลนครเชียงราย อ.เมือง จ.เชียงราย,,เมือง,เชียงราย,19.9097578,99.8265627
3328,รพ.สต.ธารทอง อ.พาน จ.เชียงราย ,ธารทอง,พาน,เชียงราย,19.712253,99.694576
3330,รพ.สต.บ้านป่าบง อ.พาน จ.เชียงราย,บ้านป่าบง,พาน,เชียงราย,19.666392609117576,99.7787649544552
3331,โรงพยาบาลสมเด็จพระญาณสังวร  อ.เวียงชัย จ.เชียงราย,,เวียงชัย,เชียงราย,19.86236,99.90589
3332,รพ.สต.บ้านด้าย ต.บ้านด้าย อ.แม่สาย จ.เชียงราย,บ้านด้าย,แม่สาย,เชียงราย,20.29396414631162,99.94437159204688
3335,เทศบาลตำบลเวียงพางคำ อ.แม่สาย จ.เชียงราย,,แม่สาย,เชียงราย,20.403658078920937,99.88555686872006
3337,องค์การบริหารส่วนตำบลโป่งผา อ.แม่สาย จ.เชียงราย,,แม่สาย,เชียงราย,20.403567577541935,99.88551395337892
3338,รพ.สต.ห้วยไคร้  อ.แม่สาย จ.เชียงราย,ห้วยไคร้,แม่สาย,เชียงราย,20.277176378151438,99.8645098209929
3339,อบต.ศรีเมืองชุม อ.แม่สาย จ.เชียงราย,ศรีเมืองชุม,แม่สาย,เชียงราย,20.368225,99.9869632
3340,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลแม่สายมิตรภาพ ต.แม่สาย อ.แม่สาย จ.เชียงราย,แม่สาย,แม่สาย,เชียงราย,20.440056274420744,99.90958683619175
3341,โรงพยาบาลดอยหลวง อ.ดอยหลวง. จ.เชียงราย,,ดอยหลวง.,เชียงราย,20.11713,100.10946
3342,รพ.สต.บ้านทุ่งงิ้ว   อ.เชียงของ  จ.เชียงราย,บ้านทุ่งงิ้ว,เชียงของ,เชียงราย,20.209542,100.403526
3527,สสอ.สบเมย  จ.แม่ฮ่องสอน,,สบเมย,แม่ฮ่องสอน,17.9642,97.93048
3529,รพ.สต.ท่าหินส้ม อ.ขุนยวม จ.แม่ฮ่องสอน,ท่าหินส้ม,ขุนยวม,แม่ฮ่องสอน,18.657852,97.928962
3680,โรงพยาบาลแม่วาง ต.บ้านกาด อ.แม่วาง จ.เชียงใหม่,บ้านกาด,แม่วาง,เชียงใหม่,18.61577,98.77391
3686,สสอ.ดอกคำใต้ ต.ดอนศรีชุม อ.ดอกคำใต้ จ.พะเยา,ดอนศรีชุม,ดอกคำใต้,พะเยา,19.161529224242063,99.99322760129976
3753,ศูนย์บริการสาธารณสุขบ้านกล้วยแพะ ต.กล้วยแพะ อ.เมือง จ.ลำปาง,กล้วยแพะ,เมือง,ลำปาง,18.201369,99.492656
3755,ศูนย์บริการสาธารณสุขบ้านฟ่อน   ต.ชมพู อ.มือง จ.ลำปาง ,ชมพู,มือง,ลำปาง,18.241416,99.436368
3756,บ้านแสนสราญ ต.หนองควาย อ.หางดง จ.เชียงใหม่,หนองควาย,หางดง,เชียงใหม่,18.722077,98.918565
3757,บริษัท วินเซนต์ ออโตเมชั่น จำกัด อ.หางดง จ.เชียงใหม่,,หางดง,เชียงใหม่,18.69638979630119,98.92628157115784
3765,บ้านปอน ต.ปอน อ.ทุ่งช้าง จ.น่าน,ปอน,ทุ่งช้าง,น่าน,19.5206378,100.9249478
3781,ศูนย์ส่งเสริมพฤฒพลังผู้สูงอายุ มช. ต.ช้างคลาน อ.เมือง จ.เชียงใหม่ (outdoor),ช้างคลาน,เมือง,เชียงใหม่ (outdoor),18.762817,99.002805
3786,โรงพยาบาลนาน้อย ต.ศรีษะเกษ อ.นาน้อย จ.น่าน,ศรีษะเกษ,นาน้อย,น่าน,18.3400774,100.7131756
3801,โรงเรียนวัดท่าต้นกวาว อ.สารภี จ.เชียงใหม่,,สารภี,เชียงใหม่,18.71998935000932,99.07129767006937
3820,ศพด.ตำบลตับเต่า (Outdoor) อ.เทิง จ.เชียงราย,,เทิง,เชียงราย,19.758771028649516,100.309046735285
3825,ศพด.แม่ลาว (Outdoor) ต.แม่ลาว อ.เชียงคำ จ.พะเยา,แม่ลาว,เชียงคำ,พะเยา,19.441685895848085,100.35514873106347
3827,ศพด.บ้านแม่หอพระ (Outdoor) ต.แม่หอพระ อ.แม่แตง จ.เชียงใหม่,แม่หอพระ,แม่แตง,เชียงใหม่,19.119628768587823,99.02912664659168
3865,ศพด.บ้านห้วยโก๋น (Outdoor) ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,19.596372505714726,101.08408217957081
3867,ศพด.บ้านปันง้าว (Outdoor) ต.ห้างฉัตร อ.ห้างฉัตร จ.ลำปาง,ห้างฉัตร,ห้างฉัตร,ลำปาง,18.31464,99.365573
3879,ศพด.เทศบาลตำบลสันผักหวาน (Outdoor) ต.สันผักหวาน อ.หางดง จ.เชียงใหม่,สันผักหวาน,หางดง,เชียงใหม่,18.71321310603905,98.94168815769561
3887,ศพด.บ้านหัวแม่คำ (Outdoor) ต.แม่สลองใน อ.แม่ฟ้าหลวง จ.เชียงราย,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,20.367997600197622,99.46979602512366
4042,รพ.แม่สรวย ต.แม่พริก อ.แม่สรวย จ.เชียงราย,แม่พริก,แม่สรวย,เชียงราย,19.642196,99.525286
4417,รร.บ้านสันป่าสัก อ.ลี้ จ.ลำพูน,,ลี้,ลำพูน,17.96073,98.89393
4421,อาคาร 30 ปี คณะวิทยาศาสตร์ ม.เชียงใหม่ (ตึก SCB1 CMU),,,,18.801686,98.953549
4426,สถาบันวิจัยพหุศาสตร์ มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.794816546986155,98.95757312001507
4427,โรงอาหารคณะวิศวกรรมศาสตร์ มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.795325038620216,98.95094496860655
4437,รพ.พาน ต.ม่วงคำ อ.พาน จ.เชียงราย,ม่วงคำ,พาน,เชียงราย,19.521356,99.744233
4438,ศูนย์พัฒนาเด็กเล็กบ้านเป้า อ.แม่แตง จ. เชียงใหม่,,แม่แตง,เชียงใหม่,19.192952,99.0046843
4439,สำนักบริการวิชาการ มหาวิทยาลัยเชียงใหม่,,,,18.794037294157402,98.9668342789135
4442,สนามกีฬากลาง 60 ปี ม.เชียงใหม่,,,,18.79747626697297,98.95655201349535
4445,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุบ้านธรรมปกรณ์ (เชียงใหม่) เลขที่ 1 ถ.มูลเมือง อ.เมือง จ.เชียงใหม่,,เมือง,เชียงใหม่,18.782122,98.992557
4454,เทศบาลตำบลลี้ ต.ลี้ อ.ลี้ จ.ลำพูน,ลี้,ลี้,ลำพูน,17.769716995712823,98.9623558586064
5005,สสอ. แม่ใจ จ. พะเยา,,แม่ใจ,พะเยา,19.3420596,99.8152521
5016,รพ.แพร่ ต.ในเวียง อ.เมือง จ.แพร่,ในเวียง,เมือง,แพร่,18.1331585,100.1545941
5019,รพ.สมเด็จพระยุพราชเด่นชัย ต.เด่นชัย อ.เด่นชัย จ.แพร่,เด่นชัย,เด่นชัย,แพร่,17.982854,100.054273
5020,รพ.สอง ต.บ้านหนุน อ.สอง จ.แพร่,บ้านหนุน,สอง,แพร่,18.460248,100.1823043
5021,รพ.ลอง ต.ห้วยอ้อ อ.ลอง จ.แพร่,ห้วยอ้อ,ลอง,แพร่,18.0896667,99.8438863
5024,รพ.แม่ลาน้อย ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,18.379953,97.943007
5044,รพ.สต.ต่อแพ ต.แม่เงา อ.ขุนยวม จ.แม่ฮ่องสอน ,ต่อแพ,ขุนยวม,แม่ฮ่องสอน,18.805850,97.905148
5049,รพ.ปง ต.นาปรัง อ.ปง จ.พะเยา ,นาปรัง,ปง,พะเยา,19.172891,100.2858163
5054,รพ.แม่แตง ต.สันมหาพน อ.แม่แตง จ.เชียงใหม่,สันมหาพน,แม่แตง,เชียงใหม่,19.137406,98.959848
5075,รพ.สต.แม่ลาหลวง ต.แม่ลาหลวง อ.แม่ลาน้อย จ.แม่ฮ่องสอน,แม่ลาหลวง,แม่ลาน้อย,แม่ฮ่องสอน,18.531887,97.934792
5248,รพ.แม่อาย ต.แม่อาย อ.แม่อาย จ.เชียงใหม่ ,แม่อาย,แม่อาย,เชียงใหม่,20.040,99.3024
5263,ประตูหน้า มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.808056,98.954797
5264,คณะมนุษยศาสตร์ มช. (HB5) ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.804263,98.950252
5265,อาคาร 40 ปี คณะวิทยาศาสตร์ มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.801472,98.956191
5267,คณะการสื่อสารมวลชน มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.801524,98.947505
5269,รพ.สูงเม่น ต.พระหลวง อ.สูงเม่น จ.แพร่,พระหลวง,สูงเม่น,แพร่,18.074608070829743,100.11718445332015
5271,คณะบริหารธุรกิจ มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.794239,98.956888
5281,คณะสังคมศาสตร์ มช. ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.802947,98.949526
5288,จุดเฝ้าระวังฝุ่น PM ต.เหมืองจี้ อ.เมือง บ้านฝั่งหมิ่น จ.ลำพูน,เหมืองจี้,เมือง บ้านฝั่งหมิ่น,ลำพูน,18.436577,98.955827
5289,ศูนย์สุขภาพชุมชนลี้ ต.ลี้ อ.ลี้ จ.ลำพูน,ลี้,ลี้,ลำพูน,17.804074,98.948334
5299,บ้านทุ่งยั้ง ต.ผางาม อ.เวียงชัย จ.เชียงราย,ผางาม,เวียงชัย,เชียงราย,19.912501,100.073169
5300,สสอ.เวียงเชียงรุ้ง ต.ทุ่งก่อ อ.เวียงเชียงรุ้ง จ.เชียงราย ,ทุ่งก่อ,เวียงเชียงรุ้ง,เชียงราย,20.003012,100.040616
5301,รพ.สต.บ้านดงมะตื๋น ต.ผางาม อ.เวียงชัย จ.เชียงราย,บ้านดงมะตื๋น,เวียงชัย,เชียงราย,19.91158898,100.0569695
5317,รพ.ขุนยวม ต.ขุนยวม อ.ขุนยวม จ.แม่ฮ่องสอน,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,18.8319272,97.9373730
5320,องค์การบริหารส่วนจังหวัดแพร่ ต.ในเวียง อ.เมืองแพร่ จ.แพร่,ในเวียง,เมืองแพร่,แพร่,18.150909,100.157705
5327,โรงพยาบาลอมก๋อย ต.อมก๋อย อ.อมก๋อย จ.เชียงใหม่,อมก๋อย,อมก๋อย,เชียงใหม่,17.802110204220725,98.36122052884491
5337,CR014 (Outdoor) ต.ห้วยทราย อ.สันกำแพง จ.เชียงใหม่ ,ห้วยทราย,สันกำแพง,เชียงใหม่,18.8012997,99.1714686
5338,CR012 (Outdoor) ต.ห้วยทราย อ.สันกำแพง จ.เชียงใหม่ (Outdoor),ห้วยทราย,สันกำแพง,เชียงใหม่ (Outdoor),18.7866714,99.162726
5340,CR013  (Outdoor) ต.ห้วยทราย อ.สันกำแพง จ.เชียงใหม่,ห้วยทราย,สันกำแพง,เชียงใหม่,18.7802736,99.1601957
5342,อาคาร HPB4 ศูนย์การศึกษามหาวิทยาลัยเชียงใหม่ หริภุญไชย ต.ศรีบัวบาน อ.เมือง จ.ลำพูน,ศรีบัวบาน,เมือง,ลำพูน,18.50866231,99.11610468
5379,สระว่ายน้ำ สนามกีฬา 700 ปี ต.ดอนแก้ว อ.แม่ริม จ.เชียงใหม่,ดอนแก้ว,แม่ริม,เชียงใหม่,18.841364,98.963876
5388,ศูนย์บริการสาธารณสุขบ้านโทกหัวช้าง ต.พระบาท อ.เมือง จ.ลำปาง ,พระบาท,เมือง,ลำปาง,18.245040518913502,99.51063558384749
5401,อบต.ศรีถ้อย ต.ศรีถ้อย อ.แม่สรวย จ.เชียงราย (กอ.รมน. เชียงราย),ศรีถ้อย,แม่สรวย,เชียงราย (ก,19.614124,99.478223
5402,รพ.เทิง ต.เวียง อ.เทิง จ.เชียงราย,เวียง,เทิง,เชียงราย,19.69047601914004,100.1762888823731
5403,รพ.สต.บ้านงิ้วเฒ่า ต.ป่าหุ่ง อ.พาน จ.เชียงราย,บ้านงิ้วเฒ่า,พาน,เชียงราย,19.445614981042716,99.63698804406799
5407,ที่ว่าการอำเภอบ้านโฮ่ง จ.ลำพูน (กอ.รมน. ลำพูน),,รมน. ลำพูน),ลำพูน (ก,18.331694,98.818839
5413,บ้านกาญจน์กนก 2 เฟส 3   ต.สันปูเลย อ.ดอยสะเก็ด จ.เชียงใหม่,สันปูเลย,ดอยสะเก็ด,เชียงใหม่,18.7976227,99.0688055
5443,รพ.สต.แม่แดดน้อย ต.แม่แดด อ.กัลยาณิวัฒนา จ.เชียงใหม่,แม่แดดน้อย,กัลยาณิวัฒนา,เชียงใหม่,18.963982496445126,98.41647016605216
5450,ทต.วังเหนือ ต.วังเหนือ อ.วังเหนือ จ.ลำปาง,วังเหนือ,วังเหนือ,ลำปาง,19.145507458171473,99.62133536390118
5454,ศูนย์บริการสาธารณสุขบ้านกาด ต.ปงแสน อ.เมือง จ.ลำปาง,ปงแสน,เมือง,ลำปาง,18.27235386296293,99.409150681999
5456,ทต.ไหล่หิน ต.ไหล่หิน อ.เกาะคา จ.ลำปาง ,ไหล่หิน,เกาะคา,ลำปาง,18.21688215,99.34114796
5511,รพ.สันป่าตอง(2) ต.ยุหว่า อ.สันป่าตอง จ.เชียงใหม่,ยุหว่า,สันป่าตอง,เชียงใหม่,18.5958576234368,98.8853748473382
5512,ชุมชนสวนดอก ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.786698,98.9684718
5516,รร.บ้านปางเฟือง จ.เชียงใหม่,,,เชียงใหม่,19.482408,99.017969
5518,บ้านหัวโท ม. 6 ต.ปิงโค้ง อ.เชียงดาว จ.เชียงใหม่,ปิงโค้ง,เชียงดาว,เชียงใหม่,19.574319,99.089211
5521,รร.บ้านออน จ.เชียงใหม่,,,เชียงใหม่,19.511793,99.09037
